序号,可溶性固形物（SSC）,酸碱性（PH）,果皮硬度（N）,色差,maturity_label,maturity_name
438,12.7,3.33,652.873,5.83488453188964,2,成熟
439,13.0,3.29,680.486,5.65149400284625,2,成熟
440,13.6,3.37,533.497,5.82134549879338,2,成熟
441,14.1,3.41,576.033,4.21016951553119,2,成熟
442,13.3,3.31,681.332,4.27329184398901,2,成熟
443,14.8,3.37,635.49,3.24922018079095,3,过成熟
444,12.8,3.37,549.727,6.31455986454449,2,成熟
445,13.4,3.12,713.791,11.3637339792656,2,成熟
446,12.4,3.31,741.097,7.0105241486612,2,成熟
447,12.5,3.16,602.954,9.3683929760412,2,成熟
448,11.4,3.13,688.255,10.7705650421212,2,成熟
449,13.4,3.25,719.791,6.33597281196758,2,成熟
450,13.3,3.31,658.796,5.25058252404438,2,成熟
451,11.7,3.26,736.559,8.66705128734981,2,成熟
452,11.4,3.23,687.563,9.44026013120651,2,成熟
453,12.0,3.29,645.72,7.2012524881148,2,成熟
454,12.9,3.08,630.336,11.3156513037239,2,成熟
455,12.7,3.06,783.709,9.99697227796866,2,成熟
456,11.0,3.2,723.944,10.6205752921417,2,成熟
457,12.8,3.05,722.021,10.6747430636661,2,成熟
458,13.6,3.33,532.651,5.21502700767819,2,成熟
459,15.3,3.28,648.335,5.01454979724712,2,成熟
460,12.1,3.13,798.939,7.49906396485327,2,成熟
461,11.9,3.26,706.407,9.35969392427788,2,成熟
462,13.6,3.31,549.419,5.38248664403732,2,成熟
463,12.5,3.24,779.402,5.39245458012288,2,成熟
464,13.3,3.3,625.26,5.41787100882604,2,成熟
465,13.2,3.28,553.034,5.71430235062761,2,成熟
466,13.3,3.33,705.33,5.86457150982509,2,成熟
467,12.1,3.25,698.1,7.21010717079151,2,成熟
468,12.5,3.3,674.487,4.53715837667994,2,成熟
469,13.1,3.0,692.485,10.1305415314619,2,成熟
470,12.8,3.28,710.407,7.41118405794784,2,成熟
471,13.9,3.34,585.032,4.04183641214456,2,成熟
472,12.9,3.17,674.948,7.28132211831606,2,成熟
473,13.7,3.13,781.709,8.29478891025413,2,成熟
474,12.4,3.05,752.942,11.8931584551667,1,半成熟
475,11.7,3.14,869.779,11.1965530329041,1,半成熟
476,13.3,3.33,686.563,4.40098686915606,2,成熟
477,12.9,3.09,814.86,10.394540178607,1,半成熟
478,13.5,3.4,574.802,5.19158558254966,2,成熟
479,13.4,3.39,558.803,4.13452195015993,2,成熟
480,13.7,3.36,445.966,5.00541494541007,3,过成熟
481,9.4,3.12,1004.461,27.9610896268459,0,未成熟
482,10.5,3.13,1107.069,22.5241384156907,0,未成熟
483,10.2,3.17,810.015,20.8352071700011,1,半成熟
484,10.4,3.11,1017.383,20.3533650678405,1,半成熟
485,10.4,3.15,962.003,23.4449410843245,0,未成熟
486,10.0,3.15,812.322,19.7138045912268,1,半成熟
487,10.5,3.14,774.325,18.3143214913136,1,半成熟
488,10.4,3.14,916.007,24.0310244955119,0,未成熟
489,10.7,3.15,998.923,15.6849926959186,1,半成熟
490,10.9,3.22,733.021,13.6001554672021,1,半成熟
491,10.8,3.12,797.708,20.8611103527027,1,半成熟
492,10.4,3.11,954.542,22.806199090799,0,未成熟
493,10.7,3.13,1123.76,23.407167376408,0,未成熟
494,10.4,3.17,837.628,16.262506568746,1,半成熟
495,11.9,3.17,766.787,13.688803196392,1,半成熟
496,11.1,3.15,789.478,14.7174587230122,1,半成熟
497,11.3,3.16,1004.769,17.1247805771079,1,半成熟
498,11.0,3.16,1053.15,15.234194345719,1,半成熟
499,10.8,3.15,1046.15,14.7278961267825,1,半成熟
500,11.2,3.22,783.478,12.614146299197,1,半成熟
501,10.9,3.18,791.939,15.3384246757715,1,半成熟
502,11.0,3.1,972.541,14.794107345532,1,半成熟
503,10.9,3.14,1049.227,14.4198710147412,1,半成熟
504,11.3,3.08,1048.919,15.2587006062896,1,半成熟
505,10.8,3.21,750.404,14.498872165472,1,半成熟
506,11.4,3.19,760.634,13.3601718129749,1,半成熟
